latitude,longitude,blight_count,housing_quality_score,cluster
30.355448,-91.132172,1,95,0
30.355463,-91.137421,1,95,0
30.355478,-91.12339,1,95,0
30.355526,-91.139633,1,95,0
30.355526,-91.133743,2,90,3
30.355555,-91.138527,2,90,3
30.35564,-91.124466,3,85,3
30.355652,-91.140198,1,95,0
30.355667,-91.133064,1,95,0
30.355713,-91.125336,1,95,0
30.355728,-91.140686,2,90,3
30.355789,-91.120697,1,95,0
30.355797,-91.133446,1,95,0
30.35581,-91.133415,3,85,3
30.355892,-91.120621,1,95,0
30.355934,-91.134819,1,95,0
30.355938,-91.12429,1,95,0
30.355944,-91.139709,1,95,0
30.355957,-91.12352,1,95,0
30.355976,-91.121284,2,90,3
30.356047,-91.117302,2,90,3
30.356085,-91.12059,1,95,0
30.35615,-91.121117,1,95,0
30.356203,-91.117203,2,90,3
30.356237,-91.123322,2,90,3
30.356337,-91.12365,1,95,0
30.356358,-91.117096,2,90,3
30.356379,-91.123627,1,95,0
30.35639,-91.134979,1,95,0
30.356466,-91.134674,1,95,0
30.356537,-91.134392,1,95,0
30.35655,-91.116859,2,90,3
30.356619,-91.13237,1,95,0
30.356625,-91.133911,1,95,0
30.35663,-91.117043,1,95,0
30.356644,-91.11705,1,95,0
30.356653,-91.123856,1,95,0
30.356689,-91.137787,2,90,3
30.356743,-91.120865,1,95,0
30.356789,-91.123299,3,85,3
30.356804,-90.984978,2,90,3
30.356825,-91.132317,1,95,0
30.356844,-90.995285,1,95,0
30.356869,-91.133743,1,95,0
30.356951,-91.13224,1,95,0
30.356991,-91.13369,2,90,3
30.357,-91.123497,1,95,0
30.357018,-91.117012,3,85,3
30.357021,-91.135071,2,90,3
30.357029,-91.123032,2,90,3
30.357237,-91.133537,1,95,0
30.35725,-91.131882,1,95,0
30.357275,-91.058311,1,95,0
30.357338,-91.058228,3,85,3
30.357342,-91.119667,1,95,0
30.357397,-90.997665,1,95,0
30.35745,-91.124084,1,95,0
30.357508,-91.134804,1,95,0
30.357559,-90.959717,1,95,0
30.357563,-90.984718,1,95,0
30.357897,-91.121231,1,95,0
30.357958,-91.133781,1,95,0
30.357965,-91.133789,1,95,0
30.35803,-90.958214,1,95,0
30.358099,-91.000229,1,95,0
30.358171,-91.071304,1,95,0
30.358227,-91.000252,1,95,0
30.358614,-91.111,1,95,0
30.358723,-91.066261,1,95,0
30.358862,-91.095161,1,95,0
30.358875,-90.990761,1,95,0
30.3589,-91.027214,1,95,0
30.358942,-91.066742,2,90,3
30.359106,-91.124664,1,95,0
30.359426,-91.07489,1,95,0
30.359566,-90.992203,1,95,0
30.359587,-91.027214,1,95,0
30.359823,-91.025604,1,95,0
30.359974,-91.000763,1,95,0
30.360197,-90.991135,1,95,0
30.36025,-91.05233,1,95,0
30.360321,-91.134201,1,95,0
30.360458,-91.134109,1,95,0
30.360594,-91.070953,1,95,0
30.360699,-91.07061,1,95,0
30.360746,-91.136627,1,95,0
30.361525,-90.959251,1,95,0
30.361706,-91.125984,1,95,0
30.361782,-91.069817,3,85,3
30.361874,-91.073532,1,95,0
30.362375,-91.124313,1,95,0
30.362396,-91.070633,1,95,0
30.362404,-91.061104,1,95,0
30.362494,-91.072838,1,95,0
30.362514,-91.125458,1,95,0
30.362526,-91.125389,1,95,0
30.362593,-91.152748,1,95,0
30.362595,-91.126579,1,95,0
30.362602,-91.124847,1,95,0
30.362637,-91.12532,1,95,0
30.362783,-91.124031,1,95,0
30.3629,-91.123924,2,90,3
30.362982,-91.074837,2,90,3
30.362986,-91.071945,1,95,0
30.362993,-91.124367,1,95,0
30.363071,-91.125099,1,95,0
30.363098,-91.129814,1,95,0
30.36314,-91.074722,2,90,3
30.363197,-91.078011,1,95,0
30.363281,-90.96978,1,95,0
30.364237,-91.074669,1,95,0
30.364323,-91.066315,1,95,0
30.364336,-91.082573,1,95,0
30.36475,-91.008308,1,95,0
30.364868,-91.074265,1,95,0
30.364912,-91.074226,5,75,4
30.364935,-91.064636,1,95,0
30.365107,-91.12674,1,95,0
30.365181,-91.064568,1,95,0
30.365501,-91.113091,1,95,0
30.365597,-91.059784,1,95,0
30.365799,-91.083672,1,95,0
30.365885,-91.122643,2,90,3
30.365973,-90.969841,1,95,0
30.365982,-91.065453,1,95,0
30.36602,-91.066681,1,95,0
30.366096,-91.123817,1,95,0
30.366098,-91.123825,1,95,0
30.366167,-91.084061,3,85,3
30.36631,-91.113617,1,95,0
30.366426,-91.059837,1,95,0
30.366507,-91.059258,1,95,0
30.366629,-91.084625,1,95,0
30.366652,-91.072044,1,95,0
30.367159,-91.072052,1,95,0
30.367186,-91.064743,1,95,0
30.367229,-91.072258,3,85,3
30.367241,-91.071533,1,95,0
30.367439,-91.064369,1,95,0
30.367468,-91.063545,1,95,0
30.367535,-91.062546,1,95,0
30.367569,-91.122955,2,90,3
30.36759,-91.059486,1,95,0
30.367617,-91.070412,1,95,0
30.367655,-91.060501,1,95,0
30.367661,-91.061943,1,95,0
30.367712,-91.070564,1,95,0
30.367731,-91.070557,1,95,0
30.367865,-91.059624,1,95,0
30.36788,-91.06234,1,95,0
30.367933,-91.060127,1,95,0
30.367947,-91.071289,1,95,0
30.36804,-91.125885,1,95,0
30.368052,-91.070648,1,95,0
30.368092,-91.116135,1,95,0
30.368181,-91.06411,1,95,0
30.368263,-91.064285,1,95,0
30.368332,-91.090515,2,90,3
30.368387,-91.071426,1,95,0
30.368406,-91.061157,1,95,0
30.368477,-91.075462,1,95,0
30.368523,-91.090401,1,95,0
30.368549,-91.069237,1,95,0
30.368658,-91.062805,1,95,0
30.368729,-91.063408,1,95,0
30.36874,-91.063416,1,95,0
30.368774,-91.064598,1,95,0
30.368795,-91.062729,1,95,0
30.368984,-91.063194,1,95,0
30.369181,-91.113113,1,95,0
30.369267,-91.071381,1,95,0
30.369276,-91.090569,1,95,0
30.369305,-91.068825,2,90,3
30.369427,-91.061172,3,85,3
30.369486,-91.003975,1,95,0
30.36964,-91.060638,3,85,3
30.369652,-91.06324,1,95,0
30.369869,-91.09095,1,95,0
30.369909,-91.064697,3,85,3
30.370346,-91.068764,1,95,0
30.370651,-91.087479,1,95,0
30.37126,-90.986755,1,95,0
30.371666,-91.069427,1,95,0
30.371773,-91.12252,1,95,0
30.372114,-91.123161,1,95,0
30.372826,-91.122742,1,95,0
30.372972,-91.131668,1,95,0
30.373009,-91.101837,1,95,0
30.373619,-91.126015,1,95,0
30.374155,-91.125801,2,90,3
30.374212,-91.10498,1,95,0
30.37425,-91.143555,2,90,3
30.374727,-91.107178,1,95,0
30.375254,-91.105461,2,90,3
30.375271,-91.052017,1,95,0
30.377106,-91.014839,1,95,0
30.37711,-91.107132,1,95,0
30.377136,-91.219902,1,95,0
30.377151,-91.016602,1,95,0
30.377197,-91.092522,1,95,0
30.377253,-91.107277,1,95,0
30.377321,-91.078087,1,95,0
30.377516,-91.204636,1,95,0
30.377531,-91.107094,1,95,0
30.377552,-91.218971,1,95,0
